Timestamp,Download (Mbps),Upload (Mbps),Ping (ms),Server Name,Server Location,Tag
2025-08-09 13:16:12,5.83,8.71,76.36,HYPERNET,Indonesia,basic
2025-08-09 13:18:43,10.89,6.18,50.20,PT. Jinom Network Indonesia - Jakarta,Indonesia,diagnose
2025-08-09 13:23:37,5.33,4.39,51.04,Jakarta,Indonesia,wifi
2025-08-09 13:25:57,12.41,4.52,48.75,Tangerang,Indonesia,basic
2025-08-09 13:27:09,9.65,12.76,63.68,Jakarta,Indonesia,basic
2025-08-09 13:29:53,0.00,0.00,0.00,,,wifi
2025-08-09 13:32:20,0.00,0.00,0.00,,,basic
2025-08-09 13:32:55,3.75,7.09,68.05,Jakarta,Indonesia,basic
2025-08-09 13:34:44,13.92,9.19,52.77,Tangerang,Indonesia,fast
2025-08-09 13:37:01,11.19,15.78,46.05,Jakarta,Indonesia,wifi
2025-08-09 13:38:04,6.75,15.21,53.16,Jakarta,Indonesia,basic
2025-08-09 13:39:26,0.00,0.00,0.00,,,basic
2025-08-09 13:42:10,13.24,17.26,141.36,Tangerang,Indonesia,basic
2025-08-09 13:43:08,2.29,2.81,89.21,Jakarta,Indonesia,basic
2025-08-09 15:10:04,24.41,15.54,71.56,Bandung,Indonesia,fast
2025-08-09 16:53:50,35.43,10.48,152.23,Bandung,Indonesia,diagnose
2025-08-09 17:02:18,0.00,0.00,0.00,,,diagnose
